ACCIO	AE K IY OW
AGUAMENTI	AE G W AA M EH N T IY
ALARTE	AE L AA R T AY
ALOHOMORA	AE L AH HH AA M AH R AH
ANAPNEO		AE N AE P N IY OW
APPARATE	AE P AH R EY T
AQUA	AA K W AH
ASCENDARE	AE S EH N D AY R
ASCENDIO	AE S EH N D IY OW
AVADA	AE V AE D AH
AVIFORS	AE V AH F AH R Z
AVIS	EY V IH S
AVIS	AE V IH S
BOMBARDA	B AA M B AA R D AH
COLLOPORTUS	K AA L AH P AO R T AH S
CONFRINGO	K AA N F R IH N G OW
CRUCIO	K R UW SH IY OW
DEFODIO		D AH F OW D IY OW
DEPULSO		D AH P UH L S OW
DIFFINDO	D IH F IH N D OW
DURO	D UW R OW
EPISKEY		AH P IH S K IY
ERECTO		AH R EH K T OW
EXPECTO		IH K S P EH K T OW
EXPELLIARMUS	IH K S P EH L IY AA R M AH S
EXPULSO		IH K S P UH L S OW
FERA	F EH R AH
FINITE		F IH N IY T EY
FLIPENDO	F L IH P AH N D UW
FUMOS	F UW M OW S
GLISSEO		G L IH S IY OW
HERBIVICUS	 AH R B AH V IH K AH S
HOMENUM		HH AA M AH N UH M
IMPERIO		IH M P AH R AY OW
INCANTATEM	IH N K AE N T AA T EH M
INCENDIO	IH N S EH N D IY OW
KEDAVRA		K AH D AE V R AH
LEVIOSA		L IY V IY OW S AH
LUMOS		L UW M AO S
MAXIMA		M AE K S IY M AH
MELOFORS	M EH L AH F AH R Z
MULTICOLORFORS	M AH L T AY K AH L ER F AO R Z
NOX	N AA K S
OBLIVIATE	AA B L IH V AY EY T
OBSCURO		AA B S K Y AH R OW
ORCHIDEOUS	AO R CH IH D IY AH S
PATRONUM	P AE T R AH N AH M
PETRIFICUS	P EH T R AH F IH S AH S
PORTUS		P AO R T AH S
PROTEGO		P R OW T EH G OW
REFULGENS	R AH F UH L JH AH N Z
REVELIO		R AH V IY L IY OW
STUPEFY		S T UW P AH F AY
TOTALUS		T AA T AH L AH S
VERTO	V AH R T OW
WINGARDIUM	W IH N G AA R D IY AH M
